,"en-US","de-DE","es-ES","fr-FR","it-IT","ja-JP","ko-KR","pl-PL","pt-BR","ru-RU","zh-HANS","zh-HANT"
"InfomodeTooltipStorageWarehouse","@@BuildingsAvailableToRent","@@BuildingsAvailableToRent","@@BuildingsAvailableToRent","@@BuildingsAvailableToRent","@@BuildingsAvailableToRent","@@BuildingsAvailableToRent","@@BuildingsAvailableToRent","@@BuildingsAvailableToRent","@@BuildingsAvailableToRent","@@BuildingsAvailableToRent","@@BuildingsAvailableToRent","@@BuildingsAvailableToRent"
"InfomodeTooltipStorageOffice","@@BuildingsAvailableToRent","@@BuildingsAvailableToRent","@@BuildingsAvailableToRent","@@BuildingsAvailableToRent","@@BuildingsAvailableToRent","@@BuildingsAvailableToRent","@@BuildingsAvailableToRent","@@BuildingsAvailableToRent","@@BuildingsAvailableToRent","@@BuildingsAvailableToRent","@@BuildingsAvailableToRent","@@BuildingsAvailableToRent"
"InfomodeTooltipStorageBatteryCharge","Electrical charge in batteries. @@UOMPlaceholder","Elektrische Ladung in Batterien. @@UOMPlaceholder","Carga eléctrica en baterías. @@UOMPlaceholder","Charge électrique dans les batteries. @@UOMPlaceholder","Carica elettrica nelle batterie. @@UOMPlaceholder","電池内の電荷。 @@UOMPlaceholder","배터리의 전하. @@UOMPlaceholder","Ładunek elektryczny w bateriach. @@UOMPlaceholder","Carga elétrica em baterias. @@UOMPlaceholder","Электрический заряд в батареях. @@UOMPlaceholder","电池中的电荷。 @@UOMPlaceholder","電池中的電荷。 @@UOMPlaceholder"
"InfomodeTooltipStoragePowerPlantFuel","Fuel in power generating buildings. @@UOMPlaceholder","Kraftstoff in Stromerzeugungsgebäuden. @@UOMPlaceholder","Combustible en edificios generadores de energía. @@UOMPlaceholder","Carburant dans les bâtiments de production d'électricité. @@UOMPlaceholder","Carburante negli edifici che generano energia. @@UOMPlaceholder","発電ビルの燃料。 @@UOMPlaceholder","발전 건물의 연료. @@UOMPlaceholder","Paliwo w budynkach generujących energię. @@UOMPlaceholder","Combustível em prédios de geração de energia. @@UOMPlaceholder","Топливо в зданиях, генерирующих электроэнергию. @@UOMPlaceholder","发电建筑中的燃料。 @@UOMPlaceholder","發電建築物內的燃料。 @@UOMPlaceholder"
"InfomodeTooltipStorageHealthcare","Pharmaceuticals in healthcare buildings. @@UOMPlaceholder","Pharmazeutika in Gesundheitsgebäuden. @@UOMPlaceholder","Productos farmacéuticos en edificios de atención médica. @@UOMPlaceholder","Produits pharmaceutiques dans les bâtiments de soins de santé. @@UOMPlaceholder","Prodotti farmaceutici negli edifici sanitari. @@UOMPlaceholder","医療ビルの医薬品。 @@UOMPlaceholder","의료 건물의 제약품. @@UOMPlaceholder","Produkty farmaceutyczne w budynkach służby zdrowia. @@UOMPlaceholder","Produtos farmacêuticos em prédios de assistência médica. @@UOMPlaceholder","Фармацевтика в зданиях здравоохранения. @@UOMPlaceholder","医疗建筑中的药品。 @@UOMPlaceholder","醫療保健建築中的藥品。 @@UOMPlaceholder"
"InfomodeTooltipStorageLandfill","Garbage in landfills. @@UOMPlaceholder","Müll auf Mülldeponien. @@UOMPlaceholder","Basura en vertederos. @@UOMPlaceholder","Déchets dans les décharges. @@UOMPlaceholder","Rifiuti nelle discariche. @@UOMPlaceholder","埋立地のゴミ。 @@UOMPlaceholder","매립지의 쓰레기. @@UOMPlaceholder","Śmieci na wysypiskach. @@UOMPlaceholder","Lixo em aterros sanitários. @@UOMPlaceholder","Мусор на свалках. @@UOMPlaceholder","垃圾填埋场里的垃圾。 @@UOMPlaceholder","垃圾掩埋場的垃圾。 @@UOMPlaceholder"
"InfomodeTooltipStorageGarbageManagement","Garbage in garbage management buildings. @@UOMPlaceholder","Müll in Müllentsorgungsgebäuden. @@UOMPlaceholder","Basura en edificios de gestión de basura. @@UOMPlaceholder","Déchets dans les bâtiments de gestion des déchets. @@UOMPlaceholder","Rifiuti negli edifici di gestione dei rifiuti. @@UOMPlaceholder","ゴミ管理ビルのゴミ。 @@UOMPlaceholder","쓰레기 관리 건물의 쓰레기. @@UOMPlaceholder","Śmieci w budynkach do składowania śmieci. @@UOMPlaceholder","Lixo em prédios de gerenciamento de lixo. @@UOMPlaceholder","Мусор в зданиях по управлению мусором. @@UOMPlaceholder","垃圾管理大楼里的垃圾。 @@UOMPlaceholder","廢棄物管理大樓內的垃圾。 @@UOMPlaceholder"
"InfomodeTooltipStorageEmergencyShelter","Food in emergency shelters. @@UOMPlaceholder","Lebensmittel in Notunterkünften. @@UOMPlaceholder","Alimentos en los refugios de emergencia. @@UOMPlaceholder","Nourriture dans les abris d'urgence. @@UOMPlaceholder","Cibo nei rifugi di emergenza. @@UOMPlaceholder","緊急避難所の食料。 @@UOMPlaceholder","비상 대피소의 식량. @@UOMPlaceholder","Żywność w schroniskach awaryjnych. @@UOMPlaceholder","Alimentos em abrigos de emergência. @@UOMPlaceholder","Еда в убежищах для экстренных случаев. @@UOMPlaceholder","紧急避难所的食物。 @@UOMPlaceholder","緊急避難所內的食物。 @@UOMPlaceholder"
"InfomodeTooltipStorageCargoTransportation","Resources in cargo transportation buildings. @@UOMPlaceholder","Ressourcen in Gebäuden für den Gütertransport. @@UOMPlaceholder","Recursos en los edificios de transporte de carga. @@UOMPlaceholder","Ressources dans les bâtiments de transport de marchandises. @@UOMPlaceholder","Risorse negli edifici per il trasporto merci. @@UOMPlaceholder","貨物輸送ビルの資源。 @@UOMPlaceholder","화물 운송 건물의 자원. @@UOMPlaceholder","Zasoby w budynkach do transportu ładunków. @@UOMPlaceholder","Recursos em prédios de transporte de carga. @@UOMPlaceholder","Ресурсы в зданиях для транспортировки грузов. @@UOMPlaceholder","货物运输大楼里的资源。 @@UOMPlaceholder","貨物運輸建築中的資源。 @@UOMPlaceholder"
"InfomodeTooltipStoragePost","Mail in post buildings.","Post in Postgebäuden.","Correo en los edificios de correos.","Courrier dans les bureaux de poste.","La posta negli uffici postali.","郵便局にある郵便物。","우체국 건물에 있는 우편물.","Poczta w budynkach pocztowych.","Correspondência nos edifícios dos correios.","Почта в почтовых отделениях.","邮局大楼里的邮件。","郵局內的郵件。"
"InfomodeTooltipStorageMailbox","Mail in mailboxes.","Post in Briefkästen.","Correo en buzones.","Courrier dans les boîtes aux lettres.","La posta nelle cassette postali.","郵便受けにある郵便物。","우편함에 있는 우편물.","Poczta w skrzynkach pocztowych.","Correspondência nas caixas de correio.","Почта в почтовых ящиках.","邮箱里的邮件。","郵箱內的郵件。"
,,,,,,,,,,,,
"InfomodeTooltipVehiclesResidentialCar","Cars from residential buildings.","Autos aus Wohngebäuden.","Coches de edificios residenciales.","Voitures provenant d'immeubles résidentiels.","Auto provenienti da edifici residenziali.","住宅街にある車。","주거용 건물에서 나온 차량들.","Samochody dla mieszkańców mieszkalnych.","Carros de edifícios residenciais.","Автомобили из жилых домов.","来自住宅楼的汽车。","居民大樓裡的汽車。"
"InfomodeTooltipVehiclesCommercialTruck","Delivery trucks from commercial buildings.","Lieferwagen aus Gewerbegebäuden.","Camiones de reparto desde edificios comerciales.","Camions de livraison provenant d'immeubles commerciaux.","Camion per le consegne da edifici commerciali.","商業ビルからの配送トラック。","상업용 건물의 배달 트럭.","Samochody dostawcze z budynków komercyjnych.","Caminhões de entrega de prédios comerciais.","Грузовики для доставки из коммерческих зданий.","来自商业建筑的送货卡车。","從商業大樓開出的送貨卡車。"
"InfomodeTooltipVehiclesExtractorTruck","Delivery trucks from extractor buildings.","Lieferfahrzeuge von spezialisierten Industriegebäuden.","Camiones de reparto desde edificios de extracción.","Camions de livraison en provenance des bâtiments d'extraction.","Camion di consegna dagli edifici di estrazione.","抽出施設からの配送トラック。","추출 시설의 배송 트럭.","Pojazdy dostawcze z budynków wydobywczych.","Caminhões de entrega provenientes de instalações de extração.","Грузовики для доставки от добывающих сооружений.","来自专业工业设施的运输卡车。","從採礦場運送貨物的卡車。"
"InfomodeTooltipVehiclesIndustrialTruck","Delivery trucks from industrial buildings.","Lieferwagen aus Industriegebäuden.","Camiones de reparto desde edificios industriales.","Camions de livraison provenant d'immeubles industriels.","Camion per le consegne da edifici industriali.","工業ビルからの配送トラック。","산업용 건물의 배달 트럭.","Samochody dostawcze z budynków przemysłowych.","Caminhões de entrega de prédios industriais.","Грузовики для доставки из промышленных зданий.","来自工业建筑的送货卡车。","來自工業建築的送貨卡車。"
"InfomodeTooltipVehiclesWarehouseTruck","Delivery trucks from warehouse buildings.","Lieferfahrzeuge von Lagergebäuden.","Camiones de reparto desde edificios de almacén.","Camions de livraison en provenance des entrepôts.","Camion di consegna dagli edifici di stoccaggio.","倉庫施設からの配送トラック。","창고 시설의 배송 트럭.","Pojazdy dostawcze z magazynów.","Caminhões de entrega provenientes de armazéns.","Грузовики для доставки со складов.","来自仓库设施的运输卡车。","從倉庫運送貨物的卡車。"
"InfomodeTooltipVehiclesOfficeTruck","Delivery trucks from office buildings.","Lieferwagen aus Bürogebäuden.","Camiones de reparto desde edificios de oficinas.","Camions de livraison provenant d'immeubles de bureaux.","Camion per le consegne da edifici per uffici.","オフィスビルからの配送トラック。","사무실 건물의 배달 트럭.","Samochody dostawcze z budynków biurowych.","Caminhões de entrega de prédios de escritórios.","Грузовики для доставки из офисных зданий.","来自办公楼的送货卡车。","從辦公大樓開出的送貨卡車。"
"InfomodeTooltipVehiclesResidentialCar","@@BuildingsAvailableToRent","@@BuildingsAvailableToRent","@@BuildingsAvailableToRent","@@BuildingsAvailableToRent","@@BuildingsAvailableToRent","@@BuildingsAvailableToRent","@@BuildingsAvailableToRent","@@BuildingsAvailableToRent","@@BuildingsAvailableToRent","@@BuildingsAvailableToRent","@@BuildingsAvailableToRent","@@BuildingsAvailableToRent"
"InfomodeTooltipVehiclesCommercialTruck","@@BuildingsAvailableToRent","@@BuildingsAvailableToRent","@@BuildingsAvailableToRent","@@BuildingsAvailableToRent","@@BuildingsAvailableToRent","@@BuildingsAvailableToRent","@@BuildingsAvailableToRent","@@BuildingsAvailableToRent","@@BuildingsAvailableToRent","@@BuildingsAvailableToRent","@@BuildingsAvailableToRent","@@BuildingsAvailableToRent"
"InfomodeTooltipVehiclesExtractorTruck","@@BuildingsAvailableToRent","@@BuildingsAvailableToRent","@@BuildingsAvailableToRent","@@BuildingsAvailableToRent","@@BuildingsAvailableToRent","@@BuildingsAvailableToRent","@@BuildingsAvailableToRent","@@BuildingsAvailableToRent","@@BuildingsAvailableToRent","@@BuildingsAvailableToRent","@@BuildingsAvailableToRent","@@BuildingsAvailableToRent"
"InfomodeTooltipVehiclesIndustrialTruck","@@BuildingsAvailableToRent","@@BuildingsAvailableToRent","@@BuildingsAvailableToRent","@@BuildingsAvailableToRent","@@BuildingsAvailableToRent","@@BuildingsAvailableToRent","@@BuildingsAvailableToRent","@@BuildingsAvailableToRent","@@BuildingsAvailableToRent","@@BuildingsAvailableToRent","@@BuildingsAvailableToRent","@@BuildingsAvailableToRent"
"InfomodeTooltipVehiclesWarehouseTruck","@@BuildingsAvailableToRent","@@BuildingsAvailableToRent","@@BuildingsAvailableToRent","@@BuildingsAvailableToRent","@@BuildingsAvailableToRent","@@BuildingsAvailableToRent","@@BuildingsAvailableToRent","@@BuildingsAvailableToRent","@@BuildingsAvailableToRent","@@BuildingsAvailableToRent","@@BuildingsAvailableToRent","@@BuildingsAvailableToRent"
"InfomodeTooltipVehiclesOfficeTruck","@@BuildingsAvailableToRent","@@BuildingsAvailableToRent","@@BuildingsAvailableToRent","@@BuildingsAvailableToRent","@@BuildingsAvailableToRent","@@BuildingsAvailableToRent","@@BuildingsAvailableToRent","@@BuildingsAvailableToRent","@@BuildingsAvailableToRent","@@BuildingsAvailableToRent","@@BuildingsAvailableToRent","@@BuildingsAvailableToRent"
"InfomodeTooltipVehiclesParkedCar","Parked cars at parking facilities.","Geparkte Autos auf Parkplätzen.","Coches aparcados en aparcamientos.","Voitures stationnées dans des parkings.","Auto parcheggiate nei parcheggi.","駐車場に駐車されている車。","주차 시설에 주차된 차량.","Zaparkowane samochody na parkingach.","Carros estacionados em estacionamentos.","Припаркованные автомобили на парковках.","停放在停车场的汽车。","停放在停車場的汽車。"
"InfomodeTooltipVehiclesParkedBike","Parked bicycles at parking facilities.","Geparkte Fahrräder auf Parkplätzen.","Bicicletas aparcadas en aparcamientos.","Vélos stationnés dans des parkings.","Biciclette parcheggiate nei parcheggi.","駐車場に駐輪されている自転車。","주차 시설에 주차된 자전거.","Zaparkowane rowery na parkingach.","Bicicletas estacionadas em bicicletários.","Припаркованные велосипеды на парковках.","停放在停车场的自行车。","停放在停車場的自行車。"
"InfomodeTooltipVehiclesParkedOther","Parked vehicles at other than parking facilities.","Geparkte Fahrzeuge außerhalb von Parkplätzen.","Vehículos aparcados fuera de los aparcamientos.","Véhicules stationnés en dehors des parkings.","Veicoli parcheggiati al di fuori delle aree di parcheggio.","駐車場以外の場所に駐車されている車両。","주차 시설이 아닌 곳에 주차된 차량.","Zaparkowane pojazdy poza parkingami.","Veículos estacionados fora de estacionamentos.","Припаркованные транспортные средства вне парковок.","停放在非停车场的车辆。","停放在停車場以外其他地方的車輛。"
"InfomodeTooltipVehiclesRoadMaintenance","Road maintenance vehicles from road maintenance depots.","Straßenwartungsfahrzeuge aus Straßenwartungsdepots.","Vehículos de mantenimiento de carreteras desde los depósitos de mantenimiento de carreteras.","Véhicules d'entretien des routes depuis les dépôts d'entretien des routes.","Veicoli per la manutenzione stradale dai depositi di manutenzione stradale.","道路整備基地からの道路整備車両。","도로 유지 관리 창고의 도로 유지 관리 차량.","Pojazdy utrzymania dróg z baz utrzymania dróg.","Veículos de manutenção de estradas de depósitos de manutenção de estradas.","Дорожно-ремонтные машины из дорожно-ремонтных депо.","来自道路养护站的道路养护车辆。","道路養護站的道路養護車輛。"
"InfomodeTooltipVehiclesAmbulance","Ambulances from healthcare buildings.","Krankenwagen aus Gesundheitsgebäuden.","Ambulancias desde los edificios sanitarios.","Ambulances depuis les bâtiments de soins.","Ambulanze dagli edifici sanitari.","医療施設からの救急車。","의료 시설의 구급차.","Ambulanse z budynków służby zdrowia.","Ambulâncias de prédios de saúde.","Машины скорой помощи из зданий здравоохранения.","来自医疗机构的救护车。","來自醫療大樓的救護車。"
"InfomodeTooltipVehiclesMedicalHelicopter","Medical helicopters from healthcare buildings.","Rettungshubschrauber aus Gesundheitsgebäuden.","Helicópteros médicos desde los edificios sanitarios.","Hélicoptères médicaux depuis les bâtiments de soins.","Elicotteri medici dagli edifici sanitari.","医療施設からの医療ヘリコプター。","의료 시설의 의료 헬리콥터.","Śmigłowce medyczne z budynków służby zdrowia.","Helicópteros médicos de prédios de saúde.","Медицинские вертолеты из зданий здравоохранения.","来自医疗机构的医疗直升机。","來自醫療大樓的醫療直升機。"
"InfomodeTooltipVehiclesHearse","Hearses from deathcare buildings.","Leichenwagen aus Bestattungsgebäuden.","Coches fúnebres de los edificios de atención funeraria.","Des corbillards provenant d'établissements funéraires.","Carri funebri dagli edifici funebri.","死体処理施設からの霊柩車。","장례 관리 건물에서 나온 영구차.","Karawany z budynków pogrzebowych.","Carros funerários de prédios de cuidados funerários.","Катафалки из похоронных бюро.","来自殡葬大楼的灵车。","殯儀館裡的靈車。"
"InfomodeTooltipVehiclesGarbageTruck","Garbage trucks from garbage management buildings.","Müllwagen aus Müllentsorgungsgebäuden.","Camiones de basura de los edificios de gestión de basura.","Des camions poubelles provenant d'établissements de gestion des déchets.","Camion della spazzatura dagli edifici di gestione dei rifiuti.","ゴミ管理施設からのゴミ収集車。","쓰레기 관리 건물에서 나온 쓰레기 트럭.","Śmieciarki z budynków gospodarki odpadami.","Caminhões de lixo de prédios de gerenciamento de lixo.","Мусоровозы из зданий для управления мусором.","来自垃圾管理大楼的垃圾车。","來自垃圾管理大樓的垃圾車。"
"InfomodeTooltipVehiclesFireEngine","Fire engines from fire stations.","Löschfahrzeuge von Feuerwachen.","Camiones de bomberos de estaciones de bomberos.","Véhicules de pompiers des casernes de pompiers.","Autopompe dalle stazioni dei pompieri.","消防署からの消防車。","소방서의 소방차.","Wozy strażackie ze straży pożarnej.","Carros de bombeiros de estações de bombeiros.","Пожарные машины с пожарных станций.","消防站派出的消防车。","來自消防局的消防車。"
"InfomodeTooltipVehiclesFireHelicopter","Fire helicopters from fire stations and fire helicopter depots.","Löschhubschrauber von Feuerwachen und Löschhubschrauberdepots.","Helicópteros de bomberos de estaciones de bomberos y depósitos de helicópteros de bomberos.","Hélicoptères de pompiers des casernes de pompiers et des dépôts d'hélicoptères de pompiers.","Elicotteri antincendio dalle stazioni dei pompieri e dai depositi degli elicotteri antincendio.","消防署と消防ヘリコプター基地からの消防ヘリコプター。","소방서와 소방헬기 창고의 소방헬기.","Śmigłowce strażackie ze straży pożarnej i baz śmigłowców strażackich.","Helicópteros de bombeiros de estações de bombeiros e depósitos de helicópteros de bombeiros.","Пожарные вертолеты с пожарных станций и депо пожарных вертолетов.","消防站和消防直升机站派出的消防直升机。","消防局和消防直升機基地的消防直升機。"
"InfomodeTooltipVehiclesDisasterResponse","Disaster response units from fire stations.","Katastrophenschutzeinheiten von Feuerwachen.","Unidades de respuesta ante desastres de estaciones de bomberos.","Unités d'intervention en cas de catastrophe des casernes de pompiers.","Unità di risposta ai disastri dalle stazioni dei pompieri.","消防署からの災害対応部隊。","소방서의 재난 대응 부대.","Jednostki reagowania na katastrofy ze straży pożarnej.","Unidades de resposta a desastres de estações de bombeiros.","Подразделения по реагированию на стихийные бедствия из пожарных частей.","来自消防站的灾难响应小组。","消防局的救災單位。"
"InfomodeTooltipVehiclesEvacuationBus","Evacuation buses from emergency shelters.","Evakuierungsbusse von Notunterkünften.","Autobuses de evacuación de refugios de emergencia.","Bus d'évacuation des abris d'urgence.","Autobus di evacuazione dai rifugi di emergenza.","緊急避難所からの避難バス。","비상 대피소의 대피 버스.","Autobusy ewakuacyjne ze schronów awaryjnych.","Ônibus de evacuação de abrigos de emergência.","Эвакуационные автобусы из аварийных убежищ.","来自紧急避难所的疏散巴士。","緊急避難所的疏散巴士。"
"InfomodeTooltipVehiclesPoliceCar","Police patrol cars from police stations.","Streifenwagen der Polizei von Polizeistationen.","Patrullas policiales desde comisarías.","Voitures de patrouille de la police des commissariats de police.","Auto di pattuglia della polizia dalle stazioni di polizia.","警察署からの警察パトカー。","경찰서의 경찰 순찰차.","Samochody patrolowe policji z posterunków policji.","Carros de patrulha da polícia de delegacias de polícia.","Полицейские патрульные машины из полицейских участков.","来自警察局的警用巡逻车。","警察從警察局巡邏汽車。"
"InfomodeTooltipVehiclesPoliceHelicopter","Police helicopters from police stations and police headquarters.","Polizeihubschrauber von Polizeistationen und Polizeihauptquartieren.","Helicópteros policiales desde comisarías y sedes policiales.","Hélicoptères de police des commissariats et des préfectures de police.","Elicotteri della polizia dalle stazioni di polizia e dai quartieri generali della polizia.","警察署と警察本部からの警察ヘリコプター。","경찰서와 경찰 본부에서 온 경찰 헬리콥터.","Śmigłowce policyjne z posterunków policji i siedzib policji.","Helicópteros da polícia de delegacias de polícia e sedes de polícia.","Полицейские вертолеты из полицейских участков и полицейских управлений.","来自警察局和警察总部的警用直升机。","來自警察局和警察總部的警用直升機。"
"InfomodeTooltipVehiclesPrisonVan","Prison vans from prisons.","Gefängnistransporter von Gefängnissen.","Furgones penitenciarios desde prisiones.","Fourgons pénitentiaires des prisons.","Furgoni delle prigioni dalle prigioni.","刑務所からの刑務所バン。","교도소에서 온 교도소 밴.","Furgonetki więzienne z więzień.","Vans de prisão de prisões.","Тюремные фургоны из тюрем.","来自监狱的囚车。","來自監獄的囚車。"
"InfomodeTooltipVehiclesTaxi","Taxis from taxi depots.","Taxis von Taxidepots.","Taxis desde las estaciones de taxis.","Taxis depuis les dépôts de taxis.","Taxi dai depositi dei taxi.","タクシーはタクシー車庫から。","택시 차고에서 온 택시.","Taksówki z zajezdni taksówek.","Táxis de depósitos de táxis.","Такси из таксопарков.","出租车来自出租车站。","出租車來自出租車站。"
"InfomodeTooltipVehiclesBus","Buses from bus depots.","Busse von Busdepots.","Autobuses desde las estaciones de autobuses.","Autobus depuis les dépôts d'autobus.","Autobus dai depositi degli autobus.","バスはバス車庫から。","버스 차고에서 온 버스.","Autobusy z zajezdni autobusowych.","Ônibus de depósitos de ônibus.","Автобусы из автобусных парков.","公交车来自公交车站。","巴士來自巴士站。"
"InfomodeTooltipVehiclesTrain","Passenger trains and cargo trains from rail yards.","Personenzüge und Güterzüge aus Bahndepots.","Trenes de pasajeros y trenes de carga desde las estaciones de ferrocarril.","Trains de voyageurs et trains de marchandises depuis les gares de triage.","Treni passeggeri e treni merci dagli scali ferroviari.","旅客列車と貨物列車は鉄道操車場から。","철도 야드에서 온 여객 열차와 화물 열차.","Pociągi pasażerskie i towarowe z dworców kolejowych.","Trens de passageiros e trens de carga de pátios ferroviários.","Пассажирские поезда и грузовые поезда из железнодорожных депо.","旅客列车和货运列车来自铁路站。","客運列車和貨運列車均來自鐵路站場。"
"InfomodeTooltipVehiclesTram","Trams from tram depots.","Straßenbahnen von Straßenbahndepots.","Tranvías desde las estaciones de tranvía.","Tramways depuis les dépôts de tramways.","Tram dai depositi dei tram.","路面電車は路面電車車庫から。","트램 차고에서 온 트램.","Tramwaje z zajezdni tramwajowych.","Bondes de depósitos de bondes.","Трамваи из трамвайных депо.","有轨电车来自有轨电车站。","有軌電車來自有軌電車站。"
"InfomodeTooltipVehiclesSubway","Subway vehicles from subway yards.","U-Bahn-Fahrzeuge aus U-Bahn-Depots.","Vehículos del metro desde las estaciones del metro.","Véhicules de métro depuis les gares de triage.","Veicoli della metropolitana dagli scali della metropolitana.","地下鉄車両は地下鉄操車場から。","지하철 야드에서 온 지하철 차량.","Pojazdy metra z dworców metra.","Veículos de metrô de pátios de metrô.","Метрополитен из парков метро.","地铁车辆来自地铁站。","地鐵車輛來自地鐵站場。"
"InfomodeTooltipVehiclesFerry","Ferries from ferry depots.","Fähren von Fährterminals.","Transbordadores desde las terminales de ferry.","Des ferries partent des terminaux de ferry.","Traghetti in partenza dai terminal dei traghetti.","フェリーターミナルからのフェリー。","페리 터미널에서 출발하는 페리.","Promy odpływają z terminali promowych.","Balsas partindo dos terminais de balsas.","Паромы отправляются с паромных терминалов.","渡轮从渡轮码头出发。","從渡輪碼頭出發的渡輪。"
"InfomodeTooltipVehiclesParkMaintenance","Park maintenance vehicles from park maintenance depots.","Parkpflegefahrzeuge aus Parkpflegedepots.","Vehículos de mantenimiento de parques desde los depósitos de mantenimiento de parques.","Véhicules d'entretien des parcs provenant des dépôts d'entretien des parcs.","Veicoli per la manutenzione dei parchi dai depositi di manutenzione dei parchi.","公園管理所からの公園管理車両。","공원 유지 관리 창고의 공원 유지 관리 차량.","Pojazdy do utrzymania parku z baz utrzymania parku.","Veículos de manutenção de parques de depósitos de manutenção de parques.","Транспортные средства для обслуживания парка из депо по обслуживанию парка.","来自公园维护站的公园维护车辆。","來自公園維修站的公園維修車輛。"
"InfomodeTooltipVehiclesPost","Post vans and post trucks from post buildings.","Postwagen und Postlastwagen aus Postgebäuden.","Camiones y furgonetas postales desde los edificios postales.","Fourgons et camions postaux provenant des bâtiments des postes.","Furgoni postali e camion postali dagli edifici postali.","郵便局ビルからの郵便バンと郵便トラック。","우편 건물에서 온 우편 밴과 우편 트럭.","Furgonetki pocztowe i ciężarówki pocztowe z budynków pocztowych.","Vans e caminhões de correio de prédios de correios.","Почтовые фургоны и почтовые грузовики из почтовых зданий.","来自邮政大楼的邮政车和邮政卡车。","來自郵政大樓的郵政貨車和郵政卡車。"
"InfomodeTooltipVehiclesCargoStationTruck","Delivery trucks from cargo train terminals, cargo harbors, and airports.","Lieferlastwagen aus Güterzugterminals, Frachthäfen und Flughäfen.","Camiones de reparto desde terminales de trenes de carga, puertos de carga y aeropuertos.","Camions de livraison provenant des terminaux de trains de marchandises, des ports de marchandises et des aéroports.","Camion per le consegne dai terminal dei treni merci, porti merci e aeroporti.","貨物列車ターミナル、貨物港、空港からの配送トラック。","화물 열차 터미널, 화물 항구, 공항의 배달 트럭.","Samochody dostawcze z terminali pociągów towarowych, portów towarowych i lotnisk.","Caminhões de entrega de terminais de trens de carga, portos de carga e aeroportos.","Грузовики для доставки с грузовых железнодорожных терминалов, грузовых портов и аэропортов.","来自货运火车站、货运港口和机场的送货卡车。","來自貨運火車站、貨運港口和機場的送貨卡車。"
,,,,,,,,,,,,
"InfomodeTooltipEfficiencyResidential","Happiness (not efficiency) of citizens in residential buildings.  100% is neutral happiness.","Zufriedenheit (nicht Effizienz) der Bürger in Wohngebäuden. 100 % ist neutrale Zufriedenheit.","Felicidad (no eficiencia) de los ciudadanos en los edificios residenciales. El 100% es felicidad neutra.","Bonheur (et non efficacité) des citoyens dans les immeubles résidentiels. 100% est un bonheur neutre.","Felicità (non efficienza) dei cittadini negli edifici residenziali. Il 100% è felicità neutra.","住宅ビルの住民の幸福度（効率性ではありません）。100% は中立的な幸福度です。","주거용 건물에 거주하는 시민들의 행복도(효율성이 아님). 100%는 중립적 행복도입니다.","Zadowolenie (nie efektywność) obywateli w budynkach mieszkalnych. 100% to zadowolenie neutralne.","Felicidade (não eficiência) dos cidadãos em edifícios residenciais. 100% é felicidade neutra.","Счастье (не эффективность) граждан в жилых зданиях. 100% — нейтральное счастье.","住宅楼居民的幸福感（而非效率）。100% 为中性幸福感。","住宅大樓內居民的幸福感（而非效率）。 100%是中性的幸福。"
"InfomodeTooltipEfficiencyCommercial","Efficiency of commercial buildings.","Effizienz von Gewerbegebäuden.","Eficiencia de los edificios comerciales.","Efficacité des bâtiments commerciaux.","Efficienza degli edifici commerciali.","商業ビルの効率。","상업용 건물의 효율성.","Efektywność budynków komercyjnych.","Eficiência de edifícios comerciais.","Эффективность коммерческих зданий.","商业建筑的效率。","商業建築的效率。"
"InfomodeTooltipEfficiencyExtractor","Efficiency of extractor buildings.","Effizienz von Extraktionsgebäuden.","Eficiencia de los edificios de extracción.","Efficacité des bâtiments d'extraction.","Efficienza degli edifici di estrazione.","抽出施設の効率","추출 시설의 효율성.","Efektywność budynków wydobywczych.","Eficiência das instalações de extração.","Эффективность добывающих сооружений.","开采建筑的效率。","專業工業建築的效率。"
"InfomodeTooltipEfficiencyIndustrial","Efficiency of industrial buildings.","Effizienz von Industriegebäuden.","Eficiencia de los edificios industriales.","Efficacité des bâtiments industriels.","Efficienza degli edifici industriali.","工業ビルの効率。","산업용 건물의 효율성.","Efektywność budynków przemysłowych.","Eficiência de edifícios industriais.","Эффективность промышленных зданий.","工业建筑的效率。","工業建築的效率。"
"InfomodeTooltipEfficiencyOffice","Efficiency of office buildings.","Effizienz von Bürogebäuden.","Eficiencia de los edificios de oficinas.","Efficacité des immeubles de bureaux.","Efficienza degli edifici per uffici.","オフィスビルの効率。","사무실 건물의 효율성.","Efektywność budynków biurowych.","Eficiência de edifícios de escritórios.","Эффективность офисных зданий.","办公楼的效率。","辦公大樓的效率。"
"InfomodeTooltipEfficiencyResidential","@@BuildingsAvailableToRent","@@BuildingsAvailableToRent","@@BuildingsAvailableToRent","@@BuildingsAvailableToRent","@@BuildingsAvailableToRent","@@BuildingsAvailableToRent","@@BuildingsAvailableToRent","@@BuildingsAvailableToRent","@@BuildingsAvailableToRent","@@BuildingsAvailableToRent","@@BuildingsAvailableToRent","@@BuildingsAvailableToRent"
"InfomodeTooltipEfficiencyCommercial","@@BuildingsAvailableToRent","@@BuildingsAvailableToRent","@@BuildingsAvailableToRent","@@BuildingsAvailableToRent","@@BuildingsAvailableToRent","@@BuildingsAvailableToRent","@@BuildingsAvailableToRent","@@BuildingsAvailableToRent","@@BuildingsAvailableToRent","@@BuildingsAvailableToRent","@@BuildingsAvailableToRent","@@BuildingsAvailableToRent"
